image_path,color_1,color_2,color_3
../data/raw\img_00000001.jpg,"(np.int64(245), np.int64(246), np.int64(248))","(np.int64(53), np.int64(69), np.int64(136))","(np.int64(180), np.int64(150), np.int64(140))"
../data/raw\img_000000024.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(50), np.int64(37), np.int64(31))","(np.int64(182), np.int64(155), np.int64(141))"
../data/raw\img_00000003.jpg,"(np.int64(252), np.int64(252), np.int64(252))","(np.int64(188), np.int64(164), np.int64(153))","(np.int64(102), np.int64(76), np.int64(64))"
../data/raw\img_00000004.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(57), np.int64(74), np.int64(96))","(np.int64(156), np.int64(159), np.int64(163))"
../data/raw\img_000000049.jpg,"(np.int64(16), np.int64(59), np.int64(113))","(np.int64(158), np.int64(127), np.int64(95))","(np.int64(198), np.int64(203), np.int64(218))"
../data/raw\img_00000005.jpg,"(np.int64(250), np.int64(250), np.int64(249))","(np.int64(155), np.int64(131), np.int64(115))","(np.int64(231), np.int64(196), np.int64(171))"
../data/raw\img_00000007.jpg,"(np.int64(231), np.int64(230), np.int64(230))","(np.int64(182), np.int64(147), np.int64(129))","(np.int64(58), np.int64(47), np.int64(47))"
../data/raw\img_000000077.jpg,"(np.int64(250), np.int64(249), np.int64(249))","(np.int64(173), np.int64(154), np.int64(145))","(np.int64(71), np.int64(68), np.int64(95))"
../data/raw\img_00000008.jpg,"(np.int64(230), np.int64(230), np.int64(231))","(np.int64(53), np.int64(73), np.int64(94))","(np.int64(139), np.int64(152), np.int64(162))"
../data/raw\img_000000088.jpg,"(np.int64(242), np.int64(241), np.int64(241))","(np.int64(86), np.int64(109), np.int64(135))","(np.int64(201), np.int64(168), np.int64(145))"
../data/raw\img_00000010.jpg,"(np.int64(206), np.int64(162), np.int64(135))","(np.int64(244), np.int64(241), np.int64(239))","(np.int64(100), np.int64(74), np.int64(87))"
